id,auto_subspecialty,manual_subspecialty,question_preview
2016-001,ABD,,"D Concerning congenital ureteropelvic junction (UPJ) obstruction, which one of t"
2016-002,ABD,,The presence of crossing vessels decreases the success rate of pyeloplasty. Davi
2016-003,CV,,They typically retain 90% of their immediate contrast value on 10-minute delayed
2016-004,ABD,,Medullary type papillary necrosis is associated with an absence of the entire pa
2016-005,CV,,"(A) Sensitivity and NPV > 90%, PPV < 75% (B) Sensitivity 80%, NPV > 90%, PPV< 75"
2016-006,CH,,< 3.5 mm Cardiac Computed Tomography: Problem-Based Learning Nov 2011 by Milind 
2016-007,CH,,Invasive mucinous adenocarcinoma A Which of the following statements about 2011 
2016-008,CH,,atypical adenomatous hyperplasia (AAH) Radiology: Volume 266: Number 1--January 
2016-009,CH,,Necrotic hilar and paratracheal lymphadenopathy can be the sole radiographic fin
2016-010,CH,,Nodules and ground-glass opacities are suggestive of granulomatous inflammation 
2016-011,CH,,Honeycombing in lower lungs with subpleural sparing is predominant in IPF. (Basa
2016-012,CH,,(A) Which statement is not true in the diagnosis of pulmonary embolism?
2016-013,CV,,Vessels oriented in the transverse plane are the most difficult to image. Thorac
2016-014,CH,,Which one is the most common benign tracheal tumor?
2016-015,CV,,Mesenchymal tumors Thoracic Imaging: Pulmonary and Cardiovascular
2016-016,CH,,(A) Which statement is not true in the diagnosis of primary pulmonary tuberculos
2016-017,CH,,Lymphadenopathy is uncommon in adults unless they are immunocompromised. Thoraci
2016-018,CH,,AJR 2006; 187:430�437 A: sclerosing hemangioma had several morphologic character
2016-019,CH,,"Regarding plain chest radiograph technique, which of the following statement is "
2016-020,CH,,"Regarding lung atelectasis, which of the following statement is NOT correct?"
2016-021,CH,,"Regarding pulmonary calcifciations, which of the following statement is NOT corr"
2016-022,CH,,Laminated pattern in pulmonary nodule is associated with malignancy. Thoracic ra
2016-023,MSK,,"Tendons Emergency Ultrasound, Second Edition 2nd Edition B According to the AIUM"
2016-024,ABD,,"Hepatic and portal veins Emergency Ultrasound, Second Edition 2nd Edition The co"
2016-025,US,,Impedance Wayne Hedrick 2004 Ultrasound Physics and Instrumentation Mosby; 4th e
2016-026,US,,Wavelength Wayne Hedrick 2004 Ultrasound Physics and Instrumentation Mosby; 4th 
2016-027,US,,There is no change. Wayne Hedrick 2004 Ultrasound Physics and Instrumentation Mo
2016-028,US,,"(A) When performing a longitudinal scan in abdominal sonography, which direction"
2016-029,US,,"Right Block, B. The Practice of Ultrasound. New York: Georg Thieme Verlag; 2004."
2016-030,ABD,,Which of the following is NOT a typical ultrasound finding of acute viral hepati
2016-031,ABD,,"Thickening of the gallbladder wall Ahuja, A. Diagnostic Imaging: Ultrasound. Sal"
2016-032,ABD,,"Adenoma Ahuja, A. Diagnostic Imaging: Ultrasound. Salt Lake City, Utah: Amirsys;"
2016-033,ABD,,ureteral duplication What is the most common congenital abnormality of the urina
2016-034,ABD,,Vesicoureteral reflux
2016-035,ABD,,Complete ureteral duplication with an ectopic ureter Which of the following cong
2016-036,ABD,,Primary megaureter
2016-037,ABD,,"(A) The two entities cannot be reliably distinguished at CT urography, and urete"
2016-038,ABD,,CT urography includes a nonenhanced phase. Which features best distinguishes CT 
2016-039,Unknown,,CT urography includes a nonenhanced phase.
2016-040,Unknown,,Clot
2016-041,Unknown,,"All of the above are typical image findings Hricak, H. Diagnostic Imaging: Gynec"
2016-042,Unknown,,"Small foci of high signal intensity on T2WI Hricak, H. Diagnostic Imaging: Gynec"
2016-043,CV,,MCA cortex is allotted 7 points. AJNR 2001 22: 1534-1542 B According to American
2016-044,CV,,Goal of endovascular treatment is reperfusion to TICI 2b/3 within 6 hours of str
2016-045,NR,,Non-invasive intracranial vascular imaging should not delay initiation of IV r-t
2016-046,NR,,Never shows enhancement No difference was found between the contrast enhancement
2016-047,MSK,,Lacelike re of stippled enhancement with no more subtle signal change on non-con
2016-048,MSK,,Infraspinatus and teres minor. Magn Reson Imaging Clin N Am. 2012 May;20(2):229-
2016-049,MSK,,Tear of the tibiofibular syndesmosis. AJR Am J Roentgenol. 1999 Sep;173(3):702 T
2016-050,MSK,,The knee joint and the pes anserine bursa. J Clin Imaging Sci. 2011;1:22 C Conce
2016-051,MSK,,"In the adult, bone is more resistant to fracture and undergoes bone marrow suppr"
2016-052,MSK,,The 1st cuneiform and 2nd metatarsal base Orthopedic Imaging � A Practical Appro
2016-053,MSK,,"Erosion of odontoid Orthopedic Imaging � A Practical Approach 5th Edition, p.450"
